id,userName,score,content,reviewDate,thumbsUpCount,sentiment
185,Mahlatse Nhlanhla,5,easy to use and very helpful ❤️‍🔥,2025-06-13 15:58:07,0,Positive
186,Adnansami Sami,5,Thanks again,2025-06-13 15:58:04,0,Positive
187,Karan,1,it's been 5 years I am using WhatsApp but now they ban me without giving me any instructions what a joke,2025-06-13 15:57:43,0,Neutral
188,Hashim Malek,5,good,2025-06-13 15:57:36,0,Positive
189,Shahbaz Soomro,5,Good,2025-06-13 15:57:28,0,Positive
190,Shaik Hussain Al Amoodi,4,Good,2025-06-13 15:56:27,0,Positive
191,Albert Ross,1,to many adverts confusing.,2025-06-13 15:55:58,0,Neutral
192,Zohaib S,5,nice app,2025-06-13 15:55:16,0,Positive
193,Randy Mark,3,my WhatsApp account nolonger in use,2025-06-13 15:55:09,0,Neutral
194,Ramesh Kumar Kumar,5,ok,2025-06-13 15:55:06,0,Positive
195,Olami Ayo,1,"this app is the most horrible app I have ever seen,, banning my account every second without doing anything wrong,,,",2025-06-13 15:54:52,0,Negative
196,Abdulrasheed Muhydeen,5,Very good,2025-06-13 15:54:29,0,Positive
197,Jerry Moilwa,5,sends messages internatoinally,2025-06-13 15:53:25,0,Neutral
198,Subhendu Mahish,5,Good,2025-06-13 15:53:14,0,Positive
199,Emmanuel Ayokunnu,5,Okay,2025-06-13 15:53:06,0,Positive
200,Mohammad Sahibi,5,Good,2025-06-13 15:52:50,0,Positive
201,Iliyas Kabir,5,It is a good app,2025-06-13 15:52:23,0,Positive
202,Mehboob Hassan,5,This is a wonderful app,2025-06-13 15:52:17,0,Positive
203,Madhuri Bhati,5,good 😊 I like this app,2025-06-13 15:52:17,0,Positive
204,Poojasharma parthsarma,1,Status par song ka option hi nahi aaya update karnea par bhi,2025-06-13 15:50:21,0,Neutral
205,Paras Karadiya,5,Excellent,2025-06-13 15:49:56,0,Positive
206,Avijit Ghosh,5,good app.,2025-06-13 15:49:46,0,Positive
207,Bbossa Samuel,5,Good,2025-06-13 15:49:08,0,Positive
