userName,content,score,at,thumbsUpCount
kotiswar naidu,good,3,2025-06-20 15:08:23,0
Kaleem Liya,Everytime I travel I get the best deals and good customer support,5,2025-06-20 14:55:07,0
Zuhaib Bhat,great👍,5,2025-06-20 14:54:49,0
Salman,good,5,2025-06-20 14:47:47,0
rajashaker yerukala,super,5,2025-06-20 14:42:38,0
Anirban Pal,good 👍,5,2025-06-20 14:38:53,0
Just Karthik,"Once I selected the seats and went to the payment step, because of my bank server I received the OTP late and the time was timed out, again I followed the same steps and the same seats prices have been increased, these is not fair !!!!",1,2025-06-20 14:37:42,1
Gulzar Singh,good 👍,5,2025-06-20 14:36:04,0
SANJAY NAYAK,"A very good system for booking an advanced basis seats,,,,as per own choice. thank you 👍",5,2025-06-20 14:32:37,0
Iqah Iqah,choose it because it is easy to refund money,5,2025-06-20 14:24:49,0
Saransh Arora,Fake boarding point No communication for delay Emergency travel ruined No accountability Bus getting delayed by 7+ hours. No support from red bus,1,2025-06-20 14:02:12,1
Suresh Kumar,nice,5,2025-06-20 13:56:12,0
Jay,good,5,2025-06-20 13:48:01,0
D srikanth,good,5,2025-06-20 13:42:43,0
Muhammad Asyraf,terbaik..,5,2025-06-20 13:31:54,0
Surya Kutty,GOOD,5,2025-06-20 13:25:08,0
SUNNY SINGH,good service perfect timing staff Good service clean bus and comfortable seating All Service Good,5,2025-06-20 13:24:20,0
Pkd roa Roa,very good sarvice,5,2025-06-20 13:19:34,0
jagdeep kumar,excellent,5,2025-06-20 13:12:18,0
Vansh Awate,"good experience,great and smooth travel must recommended❤️",5,2025-06-20 13:09:32,0
anil shinde,very good,4,2025-06-20 13:06:39,0
nitin nautiyal,very good app,5,2025-06-20 13:06:36,0
Akash Sharma,good,1,2025-06-20 13:01:27,1
Poonam Sondhiya,"The thing I like the most about red bus is its safe for women, realtime traking, wake up call and easy booking.",5,2025-06-20 12:41:54,0
R V G,ok,5,2025-06-20 12:35:46,0
Ranjith Gowda,good,4,2025-06-20 12:29:22,0
pratik mulik,happy 😁,5,2025-06-20 12:22:35,0
Mahesh Nawle,Good.,5,2025-06-20 12:15:09,0
KS,great experience,5,2025-06-20 12:09:18,0
chenna kesava,Good,5,2025-06-20 12:08:24,0
Baalki Bala,on time an comfortable journey with Krish travel,5,2025-06-20 12:03:42,0
VIJAY SINGH TANVAR,good service,5,2025-06-20 12:01:18,0
Adiwasi Masti Song,helpful app,5,2025-06-20 12:01:08,0
sachidanandam gurusamy,good,5,2025-06-20 11:59:07,0
Kartik Birkad,❤️❤️,5,2025-06-20 11:57:10,0
Wow Wow,"very worst customer care support don't book tickets if you are not sure to travel the booking date ,the refund not credited my side after cancel the ticket no contact number they provide waste of time",1,2025-06-20 11:45:58,1
Umamaheswararao Kondri,good,5,2025-06-20 11:38:52,0
SAWAN CHOUREY,nice app,5,2025-06-20 11:38:33,0
Kusum Kumbhar,good service,5,2025-06-20 11:32:37,0
Rajasekar Ramadoss (Rajasekar),excellent,5,2025-06-20 11:22:58,0
sandhya rani,good,5,2025-06-20 11:17:12,0
Himanshu Chauhan,very bad experience i paid twice for a ticket they are not even providing refund,1,2025-06-20 10:55:11,1
Vishal Maurya,this app was helpful at the last moment when abhi bus cancelled my journey before 1 hr at the scheduled time of my journey.,5,2025-06-20 10:51:11,0
TEJPAL SINGH,nice work,5,2025-06-20 10:48:44,0
Abinanth Sathya,"sometimes their response is poor, but they are really gud",4,2025-06-20 10:44:08,0
Vivek Mathuria,ok,5,2025-06-20 10:33:28,0
Neeraj kumar solanki,ok,5,2025-06-20 10:32:44,0
Darshan Telgote,Good,5,2025-06-20 10:27:54,0
Chandresh Arya,apps almost hellpfull,5,2025-06-20 10:20:42,0
Mohamed Jahir (Jafferjahir),good,5,2025-06-20 10:10:46,0
Shankar Das,very very good,5,2025-06-20 10:03:35,0
SURESH KUMAR,Reached before scheduling time...,4,2025-06-20 10:03:11,0
Sachin K Rao,best bus booking app till now. all information provided after booking.,5,2025-06-20 09:53:19,0
usha subbarayan,good,5,2025-06-20 09:49:14,0
karthik d,redrail doesn't work and unable to book tickets,1,2025-06-20 09:37:42,1
fryrtxghc,"very convenient to browse, wide choice, competitive rates, Good schemes",5,2025-06-20 09:37:13,0
bharath mittal,app not working from yesterday,1,2025-06-20 09:32:33,1
AYUSH YADAV,nice app,5,2025-06-20 09:31:04,0
Praveen Sharma,good,5,2025-06-20 09:26:06,0
Mr. Prince Verma,🥰🥰🥰,5,2025-06-20 09:13:16,0
Vishal Patil,good,5,2025-06-20 08:51:42,0
